NISCode;houses_sum_ParcelsNumber;houses_avg_PriceP25;houses_avg_PriceP50;houses_avg_PriceP75;houses_avg_ParcelsAreaP50;houses_average_price_m2;houses_avg_PriceP50_filled;houses_avg_PriceP50_status;houses_avg_PriceP50_distance_m;houses_average_price_m2_filled;houses_average_price_m2_status;houses_average_price_m2_distance_m
11023A04-;24;239000;311260;375000;299;1041.00334448161;311260;observed;;1041.00334448161;observed;
11023A050;25;280000;410000;520000;447;917.225950782998;410000;observed;;917.225950782998;observed;
11023A062;34;495000;590000;710000;1008;585.31746031746;590000;observed;;585.31746031746;observed;
11023A11-;22;205000;275000;340000;310.5;885.668276972625;275000;observed;;885.668276972625;observed;
11023A10-;58;250000;334000;410000;321.25;1039.68871595331;334000;observed;;1039.68871595331;observed;
12021A342;16;280000;294000;376500;158;1860.75949367089;294000;observed;;1860.75949367089;observed;
11023A191;5;470000;470000;470000;1964;239.307535641548;470000;observed;;239.307535641548;observed;
11023A200;80;686050;845000;1040000;2906.25;290.752688172043;845000;observed;;290.752688172043;observed;
11023A212;20;975000;1187500;1600000;5105;232.615083251714;1187500;observed;;232.615083251714;observed;
11023A280;12;627500;662500;697000;777.5;852.090032154341;662500;observed;;852.090032154341;observed;
11023B40-;52;327000;491500;555000;658;746.960486322188;491500;observed;;746.960486322188;observed;
11023B49-;15;415000;545000;585000;655;832.06106870229;545000;observed;;832.06106870229;observed;
11023A291;5;995000;1025000;1099000;2204;465.063520871143;1025000;observed;;465.063520871143;observed;
11023B30-;40;250000;307500;378500;233.5;1316.9164882227;307500;observed;;1316.9164882227;observed;
11023B31-;25;525000;736000;1085000;1009;729.435084241824;736000;observed;;729.435084241824;observed;
11040A10-;96;269500;320550;391000;229;1399.78165938865;320550;observed;;1399.78165938865;observed;
11023B32-;51;412500;550000;682500;808;680.693069306931;550000;observed;;680.693069306931;observed;
11024A00-;93;230000;319500;400000;190.75;1674.96723460026;319500;observed;;1674.96723460026;observed;
11040A211;35;355000;395000;445000;258;1531.00775193798;395000;observed;;1531.00775193798;observed;
23027C08-;63;240000;302500;406500;567;533.509700176367;302500;observed;;533.509700176367;observed;
