NISCode	sum_ParcelsNumber	avg_PriceP25	avg_PriceP50	avg_PriceP75	avg_ParcelsAreaP50	average_price_m2
11056A091	11	223750	311000	475000	350	888.571428571429
11056A1MJ						
11056A210	40	260000	305000	345000	210.25	1450.65398335315
11056A220	71	242500	273500	319500	166.5	1642.64264264264
11056A312	15	345000	380000	446000	349	1088.82521489971
11056A412	24	326250	417000	453500	649.5	642.03233256351
11056B00-	64	197250	244500	311500	197	1241.11675126904
11056B01-	75	210300	261500	314500	183.75	1423.12925170068
11056B02-	59	232500	270000	290000	171	1578.94736842105
11056B032	5	400000	450000	580000	548	821.167883211679
11056B053	5				260.5	
11056B072	1				274	
11056B081						
11056B091	7	262500	297500	316250	550	540.909090909091
11056B17-	4				192	
11056B273	1				135	
1105711PQ						
11057A00-	22	250000	345750	464500	360.5	959.084604715673
11057A010	42	310000	379000	450000	429.5	882.421420256112
11057A02-	25	378250	446750	539950	642	695.872274143302
11057A03-	19	253500	280250	438500	398.75	702.82131661442
11057A042	6	318000	351500	385000	636	552.672955974843
11057A091	4				2985.5	
11057A10-	32	410000	615000	685000	689.5	891.950688905004
11057A110	17	340000	472500	814500	1620	291.666666666667
11057A132	1				4500	
11057A191						
11057A3MW	2				1772.5	
11057A3PW	13	572000	663000	690000	1132.5	585.430463576159
11057B00-	25	280000	340000	415000	346	982.658959537572
11057B02-	18	265000	375000	400000	548.5	683.682771194166
11057B04-	16	299000	346250	480000	654	529.434250764526
11057B0MA						
11057B0PA	16	418000	500000	765000	1651.5	302.755071147442
11057B1PN						
11057B212	9	415000	535000	600000	737	725.915875169606
11057B22-	23	258800	299350	475000	387	773.514211886305
11057B233	14	258800	420000	499000	730.5	574.948665297741
11057B314	18	355000	450000	530000	856	525.700934579439
11057B32-	13	195000	315000	435000	605	520.661157024793
11057B335	8	430000	475000	540000	1354	350.812407680945
12002A001	26	185000	235000	299000	701	335.235378031384
12002A012	55	218500	277500	376000	348	797.413793103448
12002A023	48	232000	270000	415000	237.5	1136.84210526316
12002A0AB	10	375000	549000	735000	892.5	615.126050420168
12002A0PB	13	342500	381000	535000	750	508
12002A19-	3				979.75	
12002A200	40	218000	280000	360500	597	469.011725293132
12002A21-	13	292000	325000	362500	676	480.769230769231
12002A29-	16	250000	332500	425000	1172	283.703071672355
12002A300	86	236000	294500	401500	314	937.898089171975
12002A3MA	4				650.5	
12002A3PA	19	175000	375000	630000	394	951.776649746193
12005A000	52	260000	324500	472500	309	1050.16181229773
12005A01-	46	335336	465000	649000	837	555.555555555556
12005A02-	35	395000	492500	619000	890	553.370786516854
12005A032	20	401600	549250	645000	959.5	572.433559145388
12005A081	2				1316	
