bron;jaar_indiening;gemeente;handeling;gebouw_functie;metriek;waarde
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;meergezinswoning;Bovengronds grond oppervlakte;124962.2
vergunningen_omgevingsloket_2026;Totalen;;Sloop;Totalen;Aantal projecten;1461.0
vergunningen_omgevingsloket_2026;Totalen;;Sloop;Totalen;Aantal gebouwen;2230.0
vergunningen_omgevingsloket_2026;Totalen;;Sloop;Totalen;Aantal wooneenheden;0.0
vergunningen_omgevingsloket_2026;Totalen;;Sloop;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_omgevingsloket_2026;Totalen;;Sloop;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_omgevingsloket_2026;Totalen;;Sloop;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_omgevingsloket_2026;Totalen;;Sloop;-;Aantal projecten;1461.0
vergunningen_omgevingsloket_2026;Totalen;;Sloop;-;Aantal gebouwen;2230.0
vergunningen_omgevingsloket_2026;Totalen;;Sloop;-;Aantal wooneenheden;0.0
vergunningen_omgevingsloket_2026;Totalen;;Sloop;-;Nuttige woonoppervlakte;0.0
vergunningen_omgevingsloket_2026;Totalen;;Sloop;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_omgevingsloket_2026;Totalen;;Sloop;-;Bovengronds grond oppervlakte;0.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;Totalen;Aantal projecten;5378.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;Totalen;Aantal gebouwen;5850.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;Totalen;Aantal wooneenheden;7264.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;Totalen;Nuttige woonoppervlakte;1736340.89
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;Totalen;Bovengronds nuttige oppervlakte;2969373.62
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;Totalen;Bovengronds grond oppervlakte;1904274.66
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;-;Aantal projecten;18.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;-;Aantal gebouwen;20.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;-;Aantal wooneenheden;0.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;-;Nuttige woonoppervlakte;0.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;-;Bovengronds nuttige oppervlakte;16432.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;-;Bovengronds grond oppervlakte;16560.91
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;andere;Aantal projecten;766.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;andere;Aantal gebouwen;863.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;andere;Aantal wooneenheden;1078.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;andere;Nuttige woonoppervlakte;121087.28
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;andere;Bovengronds nuttige oppervlakte;1666557.57
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;andere;Bovengronds grond oppervlakte;1132788.41
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;eengezins- en kamerwoning;Aantal projecten;3.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;eengezins- en kamerwoning;Aantal gebouwen;3.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;eengezins- en kamerwoning;Aantal wooneenheden;0.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;eengezins- en kamerwoning;Nuttige woonoppervlakte;0.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;eengezins- en kamerwoning;Bovengronds nuttige oppervlakte;436.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;eengezins- en kamerwoning;Bovengronds grond oppervlakte;359.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;eengezinswoning;Aantal projecten;4308.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;eengezinswoning;Aantal gebouwen;4619.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;eengezinswoning;Aantal wooneenheden;4613.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;eengezinswoning;Nuttige woonoppervlakte;1439289.07
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;eengezinswoning;Bovengronds nuttige oppervlakte;1090508.79
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;eengezinswoning;Bovengronds grond oppervlakte;679042.4
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;kamerwoning;Aantal projecten;5.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;kamerwoning;Aantal gebouwen;5.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;kamerwoning;Aantal wooneenheden;0.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;kamerwoning;Nuttige woonoppervlakte;0.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;kamerwoning;Bovengronds nuttige oppervlakte;1913.74
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;kamerwoning;Bovengronds grond oppervlakte;1012.06
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;meergezinswoning;Aantal projecten;311.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;meergezinswoning;Aantal gebouwen;339.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;meergezinswoning;Aantal wooneenheden;1573.0
vergunningen_omgevingsloket_2026;Totalen;;Verbouwen of hergebruik;meergezinswoning;Nuttige woonoppervlakte;175964.54
