db_lden,oppervlakte_overlap_m2,inwoners_overlap,inwoners,onbebouwde_bebouwbare_percelen,onbebouwde_onbebouwbare_percelen,bewoonde_niet_geïsoleerde_woning,bewoonde_geïsoleerde_woning,nieuwe_woning,perceel_eigendom_overheid,woning_eigendom_overheid,onbebouwbaar_naar_bebouwbaar,bebouwbaar_naar_onbebouwbaar,aantal_woning_transacties_per_jaar,aantal_transacties_niet_geïsoleerde_woningen,aantal_transacties_geïsoleerde_woningen,aantal_bebouwbare_perceel_transacties_per_jaar,aantal_vergunningen_nieuwbouw,aantal_vergunningen_renovatie,aantal_vergunningen_kwetsbare_groepen,jaarlijks_aantal_vergunningen_met_isolatie,jaarlijks_aantal_vergunningen_zonder_isolatie,aantal_vergunningen_sloop,aantal_nieuwe_percelen_verkaveling,inwoners_lnight45,inwoners_na70,oppervlakte_lnight45_m2,oppervlakte_na70_m2,gemiddelde_prijs_van_een_woning,gemiddelde_prijs_bebouwbaar_perceel,share_lnight45,share_na70,bewoonde_geïsoleerde_woning_prijs,bewoonde_niet_geïsoleerde_woning_prijs,onbebouwde_bebouwbare_percelen_prijs
45,89682791.10773496,153722.74689830703,151176.31855039502,951,2853,49944.7979182051,5445.673574642374,0.0,0,0,0.5999999999999999,4.4,9703.573802385996,8770.380057076709,933.1937453092894,199.60525594045626,949.3806195810803,530.8841304654367,20.028052890983663,106.17682609308734,424.70730437234937,345.7051328075743,122.37826286202312,0.0,0.0,0.0,0.0,309484.04137578,258150.62682242264,0.0,0.0,309484.04137578,309484.04137578,258150.62682242264
46,70164856.34330039,159030.16090879004,156920.350998259,571,1713,52862.43264734755,4647.759613018292,0.0,0,0,0.9999999999999998,3.999999999999999,6942.525844332297,6417.047271931689,525.4785724006083,111.67423973859187,693.9087118527001,563.3252147250147,13.059587973373624,112.66504294500297,450.66017178001186,364.6899236412111,70.21842940569735,0.0,0.0,0.0,0.0,268712.6887041072,362381.0064274195,0.0,0.0,268712.6887041072,268712.6887041072,362381.0064274195
47,58128808.47222669,122204.46353860998,122480.80237578797,688,2064,40947.71915822463,3896.406271485507,0.0,0,0,0.5999999999999999,2.0,5628.255716208059,5189.663322218651,438.59239398940895,104.62235738765159,387.4761085748138,437.87130200231985,7.499252846591299,87.574260400464,350.297041601856,277.68334279384544,97.47261135810679,0.0,0.0,0.0,0.0,273768.88057277905,208069.19995532557,0.0,0.0,273768.88057277905,273768.88057277905,208069.19995532557
48,57247708.460219756,150296.58948617597,150467.60481648994,849,2547,48289.941582743704,4575.102188565457,0.0,0,0,0.2,3.0000000000000004,6276.704645895883,5731.214324760826,545.4903211350552,104.14349771851079,368.7807023899056,528.6416337017689,7.336758913021356,105.72832674035374,422.91330696141495,323.32529282942187,96.8432916074262,0.0,0.0,0.0,0.0,275856.9830230855,215840.06621434557,0.0,0.0,275856.9830230855,275856.9830230855,215840.06621434557
49,44811521.23786366,130863.724234786,129691.672527841,645,1935,43011.783251397734,3837.0412237577757,0.0,0,0,0.0,2.8,5495.98596515001,5080.964883590366,415.02108155964305,66.4222050539572,488.5901231378929,479.04928523100705,9.05473493567179,95.80985704620144,383.2394281848058,277.80455480451093,89.68949397114868,0.0,0.0,0.0,0.0,277240.00957084866,196156.5515230026,0.0,0.0,277240.00957084866,277240.00957084866,196156.5515230026
50,40989482.09291588,108663.1713361164,109369.39360973639,725,2175,34815.0638705577,3749.21388792409,0.0,0,0,0.0,4.199999999999999,4495.087239735062,4058.291199799105,436.7960399359569,89.15166269103338,433.3623560196079,404.11128995496574,8.0938287160802,80.82225799099317,323.28903196397266,216.5073224445527,75.55751838997442,0.0,0.0,0.0,0.0,297636.24620324036,170241.87101590625,0.0,0.0,297636.24620324036,297636.24620324036,170241.87101590625
51,35941738.73064108,74629.063056324,72049.404666246,543,1629,22858.013386037062,2623.7901782124773,0.0,0,0,0.0,2.8,3127.10424889789,2798.248009179,328.8562397188902,54.07982171216604,251.89708425643312,262.21167999893373,4.662366481775297,52.44233599978674,209.76934399914697,144.79465138138772,54.85231564825562,816.7661,0.0,1813582.1966006001,0.0,350028.052421763,126506.94174838532,0.011336194987085603,0.0,350028.052421763,350028.052421763,126506.94174838532
52,28677523.50462662,62681.841748413,63015.813068149,602,1806,19866.01687846471,2373.948256761301,0.0,0,0,0.0,1.4000000000000001,2979.058995580402,2673.338995091124,305.7200004892784,61.834992198043686,222.9808121581314,227.3509769608409,4.205965859613024,45.47019539216818,181.88078156867272,127.92869874275537,52.20749267051066,6259.185600000001,0.0,7006296.036343,0.0,344415.37294318667,177594.287934138,0.09932722114100075,0.0,344415.37294318667,344415.37294318667,177594.287934138
53,30773880.28739037,84540.568806972,81017.257584021,764,2292,24673.44970879757,3138.3920899367145,0.0,0,0,0.0,3.6,3980.4061226226518,3527.4871264813432,452.91899614130887,86.49170883053627,306.65385940217027,296.6094907962336,5.746164175227473,59.32189815924673,237.28759263698691,158.5727746615947,67.54486824144178,30845.280114521913,0.0,17947829.101362593,0.0,322722.4680305556,180544.18260302336,0.3807248114086438,0.0,322722.4680305556,322722.4680305556,180544.18260302336
54,23208431.052853193,57121.760814742,55351.414107606,471,1413,16926.219227291847,2295.16943301536,0.0,0,0,0.0,1.4,2709.283578145622,2409.0476670400767,300.23591110554486,50.08216096495897,200.54353827654433,200.93396132270385,3.7259545818419366,40.18679226454078,160.7471690581631,109.00765802733187,44.07414758430929,45157.874102089954,0.0,21507363.060639072,0.0,310731.41310074675,160923.09612956207,0.8158395739321261,0.0,310731.41310074675,310731.41310074675,160923.09612956207
55,19799409.27265945,29852.163912623997,32344.637447064,432,1296,9647.708087837544,1628.9846362019757,0.0,0,0,0.4,1.2,1245.1633312755034,1065.727012736482,179.4363185390216,122.53019099975255,161.66135312485935,122.279639720989,3.0299385290801433,24.455927944197803,97.82371177679121,62.613192121004985,40.48519864660764,32342.150347064002,211.24915118623,19781186.09534945,84558.06527924,336978.0813588116,329898.31069401785,0.999923106264398,0.0065311955198745185,336978.0813588116,336978.0813588116,329898.31069401785
56,14773390.0352845,18941.255483363002,17718.493526113,215,645,5330.600749373969,781.4000394407353,0.0,0,0,0.19999999999999998,1.5999999999999999,785.3880898414973,674.0677917422814,111.32029809921582,34.864492377916314,81.16430721070638,67.48230447689392,1.5500318510685271,13.496460895378785,53.98584358151514,33.05689556180948,16.792298697980726,17718.493526113,1209.5184446551102,14773390.0352845,1210320.5488485992,308718.4198962418,306244.2602842323,1.0,0.0682630519842196,308718.4198962418,308718.4198962418,306244.2602842323
57,11631715.336458178,11727.8419520153,11281.786266423002,103,309,3382.7977789998304,534.8840936315701,0.0,0,0,0.0,0.4,409.5571341693682,344.09312410189136,65.46401006747678,8.657813614124876,37.13499771431899,41.42371021252704,0.6741433800286915,8.28474204250541,33.13896817002164,20.850632551730673,8.105220877935238,11281.786266423002,1991.039309933774,11631715.336458178,3588114.601092458,326221.70282363147,251975.17753746558,1.0,0.17648262987037175,326221.70282363147,326221.70282363147,251975.17753746558
