naam;jaar;zone;aantal
aantal_ernstig_gehinderden_met_isolatie;2027;A;9.800921935709336
aantal_ernstig_gehinderden_met_isolatie;2027;B;252.81687836318227
aantal_ernstig_gehinderden_met_isolatie;2027;C;2042.3362862653541
aantal_ernstig_gehinderden_met_isolatie;2027;D;4550.49695221226
aantal_ernstig_gehinderden_met_isolatie;2027;E;17069.734486476824
aantal_ernstig_gehinderden_met_isolatie;2027;F;19676.52128321884
aantal_ernstig_gehinderden_met_isolatie;2027;Totaal;43601.70680847217
aantal_ernstig_gehinderden_met_isolatie;2028;A;10.064883301268662
aantal_ernstig_gehinderden_met_isolatie;2028;B;259.6273430546396
aantal_ernstig_gehinderden_met_isolatie;2028;C;2097.3466218999693
aantal_ernstig_gehinderden_met_isolatie;2028;D;4673.05504126305
aantal_ernstig_gehinderden_met_isolatie;2028;E;17529.467638668284
aantal_ernstig_gehinderden_met_isolatie;2028;F;20206.459109030475
aantal_ernstig_gehinderden_met_isolatie;2028;Totaal;44776.02063721768
aantal_ernstig_gehinderden_met_isolatie;2029;A;10.328937907433213
aantal_ernstig_gehinderden_met_isolatie;2029;B;266.4409566147474
aantal_ernstig_gehinderden_met_isolatie;2029;C;2152.379080999551
aantal_ernstig_gehinderden_met_isolatie;2029;D;4795.657758634075
aantal_ernstig_gehinderden_met_isolatie;2029;E;17989.366084828845
aantal_ernstig_gehinderden_met_isolatie;2029;F;20736.586009316616
aantal_ernstig_gehinderden_met_isolatie;2029;Totaal;45950.75882830127
aantal_ernstig_gehinderden_met_isolatie;2030;A;10.593125758208048
aantal_ernstig_gehinderden_met_isolatie;2030;B;273.2587321778369
aantal_ernstig_gehinderden_met_isolatie;2030;C;2207.4419316665508
aantal_ernstig_gehinderden_met_isolatie;2030;D;4918.32364412766
aantal_ernstig_gehinderden_met_isolatie;2030;E;18449.499424497924
aantal_ernstig_gehinderden_met_isolatie;2030;F;21266.982249356384
aantal_ernstig_gehinderden_met_isolatie;2030;Totaal;47126.09910758457
aantal_ernstig_gehinderden_met_isolatie;2031;A;10.85748665812289
aantal_ernstig_gehinderden_met_isolatie;2031;B;280.081678247935
aantal_ernstig_gehinderden_met_isolatie;2031;C;2262.5434023024673
aantal_ernstig_gehinderden_met_isolatie;2031;D;5041.071145857647
aantal_ernstig_gehinderden_met_isolatie;2031;E;18909.93691180983
aantal_ernstig_gehinderden_met_isolatie;2031;F;21797.727695262685
aantal_ernstig_gehinderden_met_isolatie;2031;Totaal;48302.21832013869
aantal_ernstig_gehinderden_vlaanderen;2026;A;47.68506800000001
aantal_ernstig_gehinderden_vlaanderen;2026;B;1230.0427230000003
aantal_ernstig_gehinderden_vlaanderen;2026;C;7772.979837999999
aantal_ernstig_gehinderden_vlaanderen;2026;D;14314.144651999999
aantal_ernstig_gehinderden_vlaanderen;2026;E;32755.726921999994
aantal_ernstig_gehinderden_vlaanderen;2026;F;22274.40274199999
aantal_ernstig_gehinderden_vlaanderen;2026;Totaal;78394.98194499998
aantal_ernstig_gehinderden_vlaanderen;2027;A;48.498995079418684
aantal_ernstig_gehinderden_vlaanderen;2027;B;1251.0396468643644
aantal_ernstig_gehinderden_vlaanderen;2027;C;7905.660978551468
aantal_ernstig_gehinderden_vlaanderen;2027;D;14558.4727970629
aantal_ernstig_gehinderden_vlaanderen;2027;E;33314.83411394595
aantal_ernstig_gehinderden_vlaanderen;2027;F;22654.60412049654
aantal_ernstig_gehinderden_vlaanderen;2027;Totaal;79733.11065200064
aantal_ernstig_gehinderden_vlaanderen;2028;A;49.31588932261732
aantal_ernstig_gehinderden_vlaanderen;2028;B;1272.1146351486595
aantal_ernstig_gehinderden_vlaanderen;2028;C;8038.831313791821
aantal_ernstig_gehinderden_vlaanderen;2028;D;14803.694372109105
aantal_ernstig_gehinderden_vlaanderen;2028;E;33875.98545821812
aantal_ernstig_gehinderden_vlaanderen;2028;F;23036.19536863272
aantal_ernstig_gehinderden_vlaanderen;2028;Totaal;81076.13703722304
aantal_ernstig_gehinderden_vlaanderen;2029;A;50.13585976214723
aantal_ernstig_gehinderden_vlaanderen;2029;B;1293.2704617592685
aantal_ernstig_gehinderden_vlaanderen;2029;C;8172.508476920074
aantal_ernstig_gehinderden_vlaanderen;2029;D;15049.842037205188
aantal_ernstig_gehinderden_vlaanderen;2029;E;34439.25570060391
aantal_ernstig_gehinderden_vlaanderen;2029;F;23419.227319401005
aantal_ernstig_gehinderden_vlaanderen;2029;Totaal;82424.2398556516
aantal_ernstig_gehinderden_vlaanderen;2030;A;50.95901530316969
aantal_ernstig_gehinderden_vlaanderen;2030;B;1314.509898370745
aantal_ernstig_gehinderden_vlaanderen;2030;C;8306.710084188304
aantal_ernstig_gehinderden_vlaanderen;2030;D;15296.948416073441
aantal_ernstig_gehinderden_vlaanderen;2030;E;35004.71950349772
aantal_ernstig_gehinderden_vlaanderen;2030;F;23803.750748956983
aantal_ernstig_gehinderden_vlaanderen;2030;Totaal;83777.59766639036
aantal_ernstig_gehinderden_vlaanderen;2031;A;51.78546474086694
aantal_ernstig_gehinderden_vlaanderen;2031;B;1335.835714851092
aantal_ernstig_gehinderden_vlaanderen;2031;C;8441.45373765341
aantal_ernstig_gehinderden_vlaanderen;2031;D;15545.046101275419
