bron;jaar_indiening;gemeente;handeling;gebouw_functie;metriek;waarde
vergunningen_kwetsbare_functies_2026;2021;Aarschot;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Aarschot;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Aarschot;-;Totalen;Aantal projecten;2.0
vergunningen_kwetsbare_functies_2026;2021;Aarschot;-;Totalen;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Aarschot;-;Totalen;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Aarschot;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Aarschot;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Aarschot;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Aarschot;-;-;Aantal projecten;2.0
vergunningen_kwetsbare_functies_2026;2021;Aarschot;-;-;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Aarschot;-;-;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Aarschot;-;-;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Aarschot;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Aarschot;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Asse;Totalen;;Aantal projecten;1.0
vergunningen_kwetsbare_functies_2026;2021;Asse;Totalen;;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Asse;Totalen;;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Asse;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Asse;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Asse;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Asse;-;Totalen;Aantal projecten;1.0
vergunningen_kwetsbare_functies_2026;2021;Asse;-;Totalen;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Asse;-;Totalen;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Asse;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Asse;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Asse;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Asse;-;-;Aantal projecten;1.0
vergunningen_kwetsbare_functies_2026;2021;Asse;-;-;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Asse;-;-;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Asse;-;-;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Asse;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Asse;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Dilbeek;Totalen;;Aantal projecten;5.0
vergunningen_kwetsbare_functies_2026;2021;Dilbeek;Totalen;;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Dilbeek;Totalen;;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Dilbeek;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Dilbeek;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Dilbeek;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Dilbeek;-;Totalen;Aantal projecten;5.0
vergunningen_kwetsbare_functies_2026;2021;Dilbeek;-;Totalen;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Dilbeek;-;Totalen;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Dilbeek;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Dilbeek;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Dilbeek;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Dilbeek;-;-;Aantal projecten;5.0
vergunningen_kwetsbare_functies_2026;2021;Dilbeek;-;-;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Dilbeek;-;-;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Dilbeek;-;-;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Dilbeek;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Dilbeek;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Grimbergen;Totalen;;Aantal projecten;3.0
vergunningen_kwetsbare_functies_2026;2021;Grimbergen;Totalen;;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Grimbergen;Totalen;;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Grimbergen;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Grimbergen;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Grimbergen;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Grimbergen;-;Totalen;Aantal projecten;3.0
vergunningen_kwetsbare_functies_2026;2021;Grimbergen;-;Totalen;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Grimbergen;-;Totalen;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Grimbergen;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Grimbergen;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Grimbergen;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Grimbergen;-;-;Aantal projecten;3.0
vergunningen_kwetsbare_functies_2026;2021;Grimbergen;-;-;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Grimbergen;-;-;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Grimbergen;-;-;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Grimbergen;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Grimbergen;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Herent;Totalen;;Aantal projecten;1.0
vergunningen_kwetsbare_functies_2026;2021;Herent;Totalen;;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Herent;Totalen;;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Herent;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Herent;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Herent;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Herent;-;Totalen;Aantal projecten;1.0
vergunningen_kwetsbare_functies_2026;2021;Herent;-;Totalen;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Herent;-;Totalen;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Herent;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Herent;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Herent;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Herent;-;-;Aantal projecten;1.0
vergunningen_kwetsbare_functies_2026;2021;Herent;-;-;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Herent;-;-;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Herent;-;-;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Herent;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Herent;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Huldenberg;Totalen;;Aantal projecten;1.0
vergunningen_kwetsbare_functies_2026;2021;Huldenberg;Totalen;;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Huldenberg;Totalen;;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Huldenberg;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Huldenberg;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Huldenberg;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Huldenberg;-;Totalen;Aantal projecten;1.0
vergunningen_kwetsbare_functies_2026;2021;Huldenberg;-;Totalen;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Huldenberg;-;Totalen;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Huldenberg;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Huldenberg;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Huldenberg;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Huldenberg;-;-;Aantal projecten;1.0
vergunningen_kwetsbare_functies_2026;2021;Huldenberg;-;-;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2021;Huldenberg;-;-;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2021;Huldenberg;-;-;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Huldenberg;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Huldenberg;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2021;Kampenhout;Totalen;;Aantal projecten;1.0
