id_inter_ss_lden;surface intersection between statistical sectors and lden noise contour;Surface of the polygone in lnight 45;Percentage of the surface of the polygone in lnight 45;Surface of the polygone in NA70;Percentage of the surface of the polygone in NA70
547;93158,35881;0;0;0;0
548;130259,1646;0;0;0;0
549;9430,041161;0;0;0;0
550;97353,86724;0;0;0;0
551;125402,276;0;0;0;0
552;271165,3737;0;0;0;0
553;13047,73734;0;0;0;0
554;104799,9935;0;0;0;0
555;185593,351;0;0;0;0
556;108672,5709;0;0;0;0
557;201480,244;0;0;0;0
558;180041,388;0;0;0;0
559;52011,16494;0;0;0;0
560;86884,37159;0;0;0;0
561;132948,829;0;0;0;0
562;140765,8354;0;0;0;0
563;61303,31582;0;0;0;0
564;161736,6175;0;0;0;0
565;339,391369;0;0;0;0
566;201127,18;0;0;0;0
567;409161,9021;0;0;0;0
568;70467,16129;0;0;0;0
569;3201,018388;0;0;0;0
570;209516,0099;0;0;0;0
571;94884,85901;0;0;0;0
572;78351,62344;0;0;0;0
573;94569,43953;0;0;0;0
574;69855,96213;0;0;0;0
575;751232,7069;0;0;0;0
576;12513,77777;0;0;0;0
577;346632,99;0;0;0;0
578;26813,86181;0;0;0;0
579;120004,934;0;0;0;0
580;28462,88857;0;0;0;0
581;115583,5638;0;0;0;0
582;71739,74313;0;0;0;0
583;15781,99608;0;0;0;0
584;101963,637;0;0;0;0
585;70572,14019;0;0;0;0
586;22088,85626;0;0;0;0
587;76285,95697;0;0;0;0
588;79337,60289;0;0;0;0
589;100323,4366;0;0;0;0
590;49580,36728;0;0;0;0
591;80504,45966;0;0;0;0
592;98870,00016;0;0;0;0
593;3881,863799;0;0;0;0
594;75165,17258;0;0;0;0
595;71811,97451;0;0;0;0
596;12915,46642;0;0;0;0
597;82956,13432;0;0;0;0
598;3213,62154;0;0;0;0
599;51958,668;0;0;0;0
600;55116,2112;0;0;0;0
601;4,662889222;0;0;0;0
602;78002,15295;0;0;0;0
603;849,3746645;0;0;0;0
604;47920,43834;0;0;0;0
605;24286,30737;0;0;0;0
606;36118,70904;0;0;0;0
